,AIC0,AIC1
0,101.52358539877216,91.8437539204125
1,94.80007946879752,85.205586995855
2,103.75225597903228,94.39225150653637
3,104.70282358195607,89.75037044506874
4,90.24482405673082,89.0756881822737
5,93.4891024656884,86.5953522779803
6,100.63920201583643,96.11270669337016
7,98.41878703828209,89.227352589656
8,99.91599421247855,87.85836088918447
9,95.7347803621321,88.23933224755885
10,104.39698987431414,92.66154592776674
11,103.88895967714474,91.82722032182039
12,100.33015348780609,192.06366305797994
13,105.63620603484017,92.15410501503942
14,102.33754671126023,100.70823800435231
15,95.70353768558381,187.9679249180769
